id,text
84,"Но если у вас есть несколько вариантов , то вы можете выбрать подходящий ."
85,Но нас сейчас будет больше интересовать открытие уже существующего проекта .
86,Это кнопка Open .
87,Выбираете папку и нажимаете Open .
88,У вас открывается ваш проект .
89,"И вот , собственно , тут в левой части информация о проекте ."
90,Мы можем увидеть структуру нашего проекта .
91,"Наша папка Example и Hello , Py ."
92,"И видим вот то же самое , что мы набирали в текстовом редакторе ."
93,Давайте попробуем запустить эту программу .
94,Выбираем Run .
95,Здесь еще раз Run .
96,И здесь Hello .
97,Выбираем .
98,"И видим , что получили тот же вывод ."
99,"Hello , World ."
100,"Первая строка , она на самом деле аналогична тому , что мы писали в интерпретаторе без интерактивного режима ."
101,"То есть Python , Hello.py ."
102,Только еще с дополнительными опциями и абсолютными путями .
103,"И в конце у нас есть сообщение , которое говорит нам о том , что мы завершились с кодом 0 ."
104,"Ну , то есть без ошибок это обычно значит ."
105,Давайте теперь поговорим о базовых вещах в языке Python .
106,Начнем с литерала .
107,"Литерал — это то же самое , что константа ."
108,"Например , 123 — число — это константа ."
109,Строка ABC — это тоже константа .
110,Следующая сущность — это переменная .
111,Что такое переменная ?
112,"Это сущность в коде , используемая для хранения данных ."
113,"Например , промежуточного результата ."
114,В языке Python переменная задается следующим образом .
115,Задается сначала имя переменной .
116,Пусть будет var .
117,Потом знак равенства .
118,И дальше выражение некоторое .
119,Давайте мы напишем здесь 123 .
120,Что значит этот код ?
121,"Значит , что в переменную с именем var записать значение литерала 123 ."
122,Также можно создать другую переменную var2 .
123,И в нее записать строку ABC .
124,Замечательно .
125,Язык Python является динамически типизированным .
126,Что это значит ?
127,"Это значит , что нам не нужно писать имя типа перед объявлением перемены ."
128,"Это дополнительно значит , что мы в любую переменную можем положить любое значение ."
129,То есть любой тип .
130,"Например , мы можем в переменную var3 положить сначала 123 , что является числовым типом данных ."
131,А потом туда же положить строку ABC .
132,И это будет валидным кодом .
133,Интерпретатор на это не будет ругаться .
134,Все хорошо .
135,Что еще хотел сразу подметить .
136,В языке часто будете встречать конструкции с такой вот решеткой .
137,Это называется комментарий .
138,"Видите , нам даже IDE специальным образом выделила этот кусок кода ."
139,Он стал серым .
140,Для чего это нужно ?
141,"Это , во-первых , называется комментарием ."
142,"Во-вторых , это нужно , чтобы какие-то куски кода , или каких-то комментариев ваших , возможно словесных пояснений , интерпретатор не обрабатывал как код , а просто пропускал ."
143,Также можно комментировать сразу несколько строк и раскомментировать обратно .
144,"Например , на macOS это комбинация command -slash ."
145,Комментирует либо раскомментирует обратно .
146,"Давайте теперь поговорим о том , как вводить данные пользователя с клавиатуры ."
147,Для этого есть функция input .
148,Давайте рассмотрим следующий фрагмент кода .
149,"Мы в переменную var3 записываем значение того , что нам вернет функция input ."
150,"Она нам вернет то , что пользователь введет с командной строки ."
151,При этом в командной строке пользователя будет ожидать вот это сообщение .
152,Enter your age .
153,"Давайте запустим этот фрагмент кода и посмотрим , что у нас получится ."
154,"Как видим , это не фрагмент кода ."
155,"Как видим , программа вывела приветственное сообщение ."
156,Enter your age .
157,Давайте передадим ей туда 123 .
158,Нажмем Enter .
159,"И видим , что программа завершилась ."
160,Потому что мы с этими данными ничего не делали .
161,Записали просто в переменную и дальше вышли из программы .
162,"Давайте проверим , что на самом деле то , что мы ввели , оно и выведется ."
163,Добавив вот такой кусок кода .
164,Выведем print hello .
165,Давайте выведем еще какую-нибудь переменную .
166,Нашу var .
167,Дополнительно .
168,И переменную myvar3 .
169,"По идее у нас должно вывести hello , потом 123 и то , что мы введем с командной строки ."
170,Давайте пробовать .
171,"Давайте в этот раз что-нибудь введем не 103 , а 456 ."
172,"Как мы видим , как и ожидалось , вывелось hello , потом 123 , а потом то , что мы ввели из командной строки ."
173,То есть 456 .
174,Ну и дальше программа завершилась .
175,И в заключение давайте еще расскажу про Python консоль в IDE PyCharm .
176,"То есть то , что мы запускали в терминале , можно запустить и в самой IDE ."
177,Здесь в правой части есть вот такая иконка Python консоль .
178,Мы просто ее нажимаем .
179,Запускается некий процесс .
180,И на самом деле запускается Python интерпретатор в интерактивном режиме .
181,"Здесь мы также то же самое все можем делать , что делали при обычном запуске интерпретатора ."
182,"Ну , например , давайте опять hello world напишем ."
183,print hello world .
184,Enter .
185,"Вот , программа вывела hello world ."
186,То же самое на самом деле давайте с input еще раз попробуем .
187,Давайте какую-нибудь переменную var .
188,Запишем значение input .
189,"Отмечу , что можно приветственное сообщение вообще не писать , а ставить просто круглые скобочки ."
190,Тогда просто от вас программа будет ожидать сразу вот без какого-то приветствия .
191,Ну давайте здесь abc123 передадим .
192,Enter .
193,Отлично .
194,"И посмотрим , что у нас в переменной var ."
195,"То есть чтобы посмотреть , что в переменной var , можно написать ее имя ."
196,И нажать Enter .
197,Вам интерпретатор сразу выведет ее значение .
198,То есть не обязательно писать print в интерактивном режиме в этом случае .
199,То есть будет примерно то же самое .
200,На этом уроке мы познакомились с интерпретатором Python .
201,"Узнали , как работать с ним в интерактивном режиме ."
202,Как запускать код из файла с его помощью .
203,Познакомились с IDE PyCharm .
204,"Узнали , как базово разрабатывать код в ней ."
205,Написали свою первую программу hello world .
206,"А также разобрались с такими понятиями , как literal , переменные ."
207,Научились выводить данные в консоль .
208,А также считывать пользовательские данные со стандартного ввода .
